id_vaca_gps,Numero_pendiente,IdUsuario,latitud,longitud,rssi,fecha
213,1001,1,43.127953,-8.485554,-110.0,2024-04-20 12:55:51
214,1001,1,43.127918,-8.485511,-112.0,2024-04-20 12:55:56
215,1001,1,43.127918,-8.485511,-107.0,2024-04-20 12:55:58
216,1001,1,43.127918,-8.485532,-102.0,2024-04-20 12:56:03
217,1001,1,43.127918,-8.485532,-102.0,2024-04-20 12:56:04
218,1001,1,43.127811,-8.485643,-114.0,2024-04-20 12:56:24
219,1001,1,43.127773,-8.485741,-107.0,2024-04-20 12:56:39
220,1001,1,43.127773,-8.485741,-110.0,2024-04-20 12:56:40
221,1001,1,43.127769,-8.485749,-112.0,2024-04-20 12:56:47
222,1001,1,43.127865,-8.485941,-113.0,2024-04-20 12:56:59
223,1001,1,43.127865,-8.485941,-113.0,2024-04-20 12:57:05
224,1001,1,43.127941,-8.485948,-115.0,2024-04-20 12:57:10
225,1001,1,43.127941,-8.485948,-105.0,2024-04-20 12:57:11
226,1001,1,43.127941,-8.485948,-111.0,2024-04-20 12:57:13
227,1001,1,43.127941,-8.485948,-95.0,2024-04-20 12:57:18
228,1001,1,43.127941,-8.485948,-90.0,2024-04-20 12:57:19
229,1001,1,43.128143,-8.486084,-98.0,2024-04-20 12:57:21
230,1001,1,43.128143,-8.486084,-93.0,2024-04-20 12:57:23
231,1001,1,43.128159,-8.486088,-89.0,2024-04-20 12:57:28
232,1001,1,43.128269,-8.486131,-79.0,2024-04-20 12:57:42
233,1001,1,43.128323,-8.486138,-76.0,2024-04-20 12:57:48
234,1001,1,43.128323,-8.486138,-74.0,2024-04-20 12:57:49
235,1001,1,43.128323,-8.486138,-70.0,2024-04-20 12:57:50
236,1001,1,43.128262,-8.486355,-75.0,2024-04-20 12:58:02
237,1001,1,43.128262,-8.486355,-77.0,2024-04-20 12:58:03
238,1001,1,43.128262,-8.486355,-88.0,2024-04-20 12:58:04
239,1001,1,43.128262,-8.486355,-74.0,2024-04-20 12:58:05
240,1001,1,43.128277,-8.486238,-70.0,2024-04-20 12:58:09
241,1001,1,43.128323,-8.486202,-71.0,2024-04-20 12:58:15
242,1001,1,43.128323,-8.486202,-71.0,2024-04-20 12:58:17
243,1001,1,43.128452,-8.486193,-70.0,2024-04-20 12:58:19
244,1001,1,43.128452,-8.486193,-71.0,2024-04-20 12:58:21
